dataset,accuracy_no_analysis,accuracy_with_analysis,f1_macro_no_analysis,f1_macro_with_analysis,f1_weighted_no_analysis,f1_weighted_with_analysis,bert_no_analysis,bert_with_analysis,bleu_no_analysis,bleu_with_analysis,rougeL_no_analysis,rougeL_with_analysis,recall_no_analysis,recall_with_analysis,cscore_no_analysis,cscore_with_analysis
TSE_Explicit,0.4129711751662971,0.49944567627494457,0.41168593717694074,0.4710081987053422,0.4329400523765541,0.5111764066686009,0.8848245544338438,0.8959889315448685,0.09618841582395782,0.114837746886135,0.28483924611973394,0.31754434589800445,0.2278270509977827,0.3231707317073171,0.178354182409017,0.25343699547207826
TSE_Implicit,0.28762541806020064,0.36705685618729095,0.28317617813839524,0.355185241676016,0.2724875073696832,0.37419898817130715,0.8898941314340036,0.8881439577576309,0.06489924213323552,0.052687815419866134,0.1692447045707915,0.13829431438127088,0.22324414715719063,0.1797658862876254,0.17204041234116327,0.13853441447010031
VAST_Explicit,0.5823717948717949,0.5464743589743589,0.41430300638633183,0.39189503581869917,0.6004024160237998,0.556487742956921,0.8974084765292131,0.8953701719832726,0.05341796385189568,0.04864613578253672,0.3328739547489547,0.31027111232993587,0.05737179487179487,0.05064102564102564,0.04839223209637896,0.042417613876120024
VAST_Implicit,0.5318181818181819,0.5303030303030303,0.37851829177979757,0.37551292473381787,0.5527477102081599,0.5411161580370941,0.8719446547705718,0.8738761285940806,0.006463554620762873,0.0077063096297890175,0.06848364598364598,0.07694163860830527,0.0025252525252525255,0.00404040404040404,0.0020146618605983687,0.0033273255879768884
